date,open,high,low,close,volume,log_return,log_volume_chg,log_trading_range,vol_10,vol_30,garch_vol_10
2010-10-18,20.52,20.64,20.22,20.23,162729.0,-0.015207553320758294,-0.5535196550978618,-0.4367176516122625,0.030315391705882464,0.15481577639896654,
2010-10-19,20.2,20.41,20.0,20.05,245127.0,-0.008937497427075947,0.409690203080487,-0.024097551579064236,0.029455219951615243,0.1531750988450156,
2010-10-20,20.16,20.69,20.04,20.65,312444.0,0.029486165654463825,0.24264880953249346,0.46081520319133223,0.030595182364172017,0.155128448904378,
2010-10-21,20.61,20.95,20.45,20.75,417099.0,0.004830927269665608,0.28889835057521474,-0.26236426446749433,0.030645749515155262,0.15494374866291397,
2010-10-22,20.68,20.93,20.55,20.72,161021.0,-0.0014468292854252773,-0.9517888124322376,-0.27443684570176297,0.030703535760329727,0.15252146658238624,
2010-10-25,20.94,20.98,20.73,20.85,118614.0,0.0062545308535284505,-0.30566026781933964,-0.4187103348581823,0.029630958286896058,0.15026024755526388,
2010-10-26,20.8,21.87,20.51,21.36,660841.0,0.024166065847183393,1.7176387428449829,1.693779060867851,0.033019139268224064,0.15100001055590243,
2010-10-27,21.25,21.38,20.65,21.0,356500.0,-0.01699757636857102,-0.6171790264324866,-0.6221954445876599,0.0355585247963541,0.14623478708545776,
2010-10-28,21.39,21.5,20.96,21.19,224190.0,0.009006934556784696,-0.4638403332440433,-0.301475394584119,0.03542296281135231,0.13822042484501076,
2010-10-29,21.14,21.85,21.05,21.84,278955.0,0.030213778596496432,0.2185565718797946,0.39304258810960974,0.03898312813769134,0.13645872520627852,
2010-11-01,21.94,22.75,21.31,21.41,455784.0,-0.019885048275112727,0.4909685345899515,0.5877866649021191,0.04051611381304068,0.13262390142657768,
2010-11-02,21.68,21.88,21.05,21.25,322465.0,-0.007501207231165541,-0.346024409865505,-0.5509726917794057,0.04024023513612852,0.13211254059286914,
2010-11-03,21.28,22.5,21.16,21.77,374199.0,0.02417597987603015,0.14879313825415075,0.4789991921543154,0.03864838500936315,0.12553385469332048,
2010-11-04,22.6,25.33,22.15,24.9,1874801.0,0.1343349282242059,1.611470057969937,0.8642115828292655,0.09906800495653684,0.1801375934913218,
2010-11-05,24.87,24.97,23.72,24.44,987386.0,-0.018646669167267316,-0.6411967523653956,-0.9337376454778756,0.10167827014262036,0.18092318117101996,
2010-11-08,24.5,25.0,24.03,24.98,509375.0,0.021854370394037037,-0.6618765630781134,-0.25360275879891947,0.1014019271858524,0.18098202181292952,
2010-11-09,25.0,25.69,24.05,24.63,956649.0,-0.014110292564985194,0.6302520690209601,0.5251554493208171,0.10370979214598819,0.17839372396454115,
2010-11-10,24.48,29.97,24.05,29.36,3061038.0,0.17566799161386815,1.1630728000959802,1.2836402070598065,0.15042488776391105,0.24657510945262304,
2010-11-11,28.6,29.1,27.33,28.04,1944794.0,-0.046001141579925076,-0.45359801526505805,-1.2073569023101745,0.16011960002978504,0.2381566273227355,
2010-11-12,28.25,30.5,28.07,29.84,2668613.0,0.062217713169170796,0.31640280291762934,0.3169117107667174,0.16195298351445056,0.24367550519329853,
2010-11-15,30.22,32.94,30.22,30.8,2624233.0,0.0316649146439687,-0.016770198911059353,0.11274062295544851,0.1569420961655339,0.2443674351773517,
2010-11-16,31.0,31.4,28.42,29.67,1347531.0,-0.03737825567679831,-0.6665146337691894,0.09129142020940662,0.16289068926526368,0.2494147267934374,
2010-11-17,30.2,30.75,28.61,29.49,749941.0,-0.006085211475546082,-0.5860347713150862,-0.33111747148355175,0.16522908187266575,0.2461279102586698,
2010-11-18,30.67,30.74,28.92,29.89,956248.0,0.013472753468661836,0.24302275686598662,-0.16196932794505814,0.14366786972310544,0.24572367147877197,
2010-11-19,30.16,31.37,8.03,30.99,1145553.0,0.036140595503810324,0.18062547519316574,2.551332125769708,0.14104698929758222,0.2464504768147826,
2010-11-22,31.57,33.45,31.5,33.4,1529622.0,0.07489132818299771,0.2891331562104362,-2.482339254282753,0.14556557489483335,0.2525558584917717,
2010-11-23,33.29,35.68,32.19,34.57,1577970.0,0.03443035395087879,0.031118564779363922,0.5820723636386794,0.14156175353114708,0.2525480786530232,
2010-11-24,35.27,35.97,34.33,35.47,1424959.0,0.02570101485199716,-0.10199616945924994,-0.7552054943782289,0.08753474144412156,0.25264617037558673,
2010-11-26,35.6,36.0,34.75,35.32,342754.0,-0.004237893049771291,-1.4248853316710406,-0.2715526905218976,0.0743136415050453,0.25352985535461203,
